model,trade_id,date,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,shares,sizing_leverage,entry_equity,gross_pnl,costs,net_pnl,return_on_entry_notional,return_on_start_equity,pnl_per_share,exit_reason
B,42,2025-06-23,2025-06-23 15:30:00,2025-06-23 16:00:00,1,597.5632,598.4907,170,1.0,101612.65629999993,157.67499999998222,1.5299999999999998,156.14499999998225,0.0015370759109662301,0.001536668813567689,0.9184999999998956,session_close
B,43,2025-06-24,2025-06-24 11:30:00,2025-06-24 16:00:00,1,604.1051,605.1024,168,1.0,101768.80129999992,167.54639999999927,1.5119999999999998,166.03439999999927,0.0016359736079036506,0.001631486250000661,0.9882999999999956,session_close
B,44,2025-06-26,2025-06-26 12:30:00,2025-06-26 16:00:00,1,609.201,610.1782,167,1.0,101934.83569999992,163.19239999998752,1.5030000000000001,161.68939999998753,0.0015892948304417182,0.0015862035671087822,0.9681999999999253,session_close
B,45,2025-06-27,2025-06-27 12:00:00,2025-06-27 13:00:00,1,614.1971,614.242,166,1.0,102096.52509999991,7.453399999997373,1.4939999999999998,5.959399999997373,5.8450292259576245e-05,5.8370252995000104e-05,0.035899999999984174,stop_or_reverse
B,46,2025-07-02,2025-07-02 10:30:00,2025-07-02 15:00:00,1,616.9395,618.134,165,1.0,102102.4844999999,197.0925000000102,1.485,195.60750000001022,0.0019215822621181853,0.0019157956925133434,1.185500000000062,stop_or_reverse
B,47,2025-07-03,2025-07-03 11:00:00,2025-07-03 13:00:00,1,623.5711,623.611,164,1.0,102298.09199999992,6.5435999999981505,1.4760000000000002,5.0675999999981505,4.9553290715347017e-05,4.953758081820485e-05,0.03089999999998872,session_close
B,48,2025-07-07,2025-07-07 11:00:00,2025-07-07 16:00:00,-1,620.3799,618.9639,164,1.0,102303.15959999991,232.2240000000088,1.4760000000000002,230.7480000000088,0.00226796516134719,0.0022555315095078355,1.4070000000000538,session_close
B,49,2025-07-10,2025-07-10 11:30:00,2025-07-10 12:30:00,1,623.7806,623.8404,164,1.0,102533.90759999992,9.807199999999284,1.4760000000000002,8.331199999999285,8.143889053297848e-05,8.125312099194093e-05,0.05079999999999564,stop_or_reverse
B,50,2025-07-10,2025-07-10 13:30:00,2025-07-10 15:30:00,1,624.3589,624.4885,164,1.0,102533.90759999992,21.25440000001572,1.4760000000000002,19.77840000001572,0.00019315813388756986,0.00019289618881174615,0.12060000000009584,stop_or_reverse
B,51,2025-07-15,2025-07-15 13:00:00,2025-07-15 13:30:00,-1,621.447,622.1251,164,1.0,102562.01719999994,-111.20839999999544,1.4760000000000002,-112.68439999999543,-0.001105645372815336,-0.0010986952390011641,-0.6870999999999722,stop_or_reverse
