date,rows,volume_sum,closing_print,daily_volume,volume_difference,daily_close,close_difference,early_close
2025-10-27,14,63339792,685.24,63339792,0,685.24,0.0,False
2025-10-28,14,61738072,687.06,61738072,0,687.06,0.0,False
2025-10-29,14,85362208,687.39,85362208,0,687.39,0.0,False
2025-10-30,14,76335752,679.83,76335752,0,679.83,0.0,False
2025-10-31,14,87164120,682.06,87164120,0,682.06,0.0,False
2025-11-03,14,41710084,683.34,57315024,-15604940,683.34,0.0,False
2025-11-04,14,78426968,675.24,78426968,0,675.24,0.0,False
2025-11-05,14,74402376,677.58,74402376,0,677.58,0.0,False
2025-11-06,14,85035296,670.31,85035296,0,670.31,0.0,False
2025-11-07,14,100592440,670.97,100592440,0,670.97,0.0,False
2025-11-10,14,75842888,681.44,75842888,0,681.44,0.0,False
2025-11-11,14,58953384,683.0,58953384,0,683.0,0.0,False
2025-11-12,14,62312484,683.38,62312484,0,683.38,0.0,False
2025-11-13,14,103457792,672.04,103457792,0,672.04,0.0,False
2025-11-14,14,96846672,671.93,96846672,0,671.93,0.0,False
2025-11-17,14,90456104,665.67,90456104,0,665.67,0.0,False
2025-11-18,14,114467488,660.08,114467488,0,660.08,0.0,False
2025-11-19,14,94702952,662.63,94702952,0,662.63,0.0,False
2025-11-20,14,165293520,652.53,165293520,0,652.53,0.0,False
2025-11-21,14,123956200,659.03,123956200,0,659.03,0.0,False
2025-11-24,14,80437936,668.73,80437936,0,668.73,0.0,False
2025-11-25,14,81077088,675.02,81077088,0,675.02,0.0,False
2025-11-26,14,71879600,679.68,71879600,0,679.68,0.0,False
2025-11-28,12,49212032,683.39,49212032,0,683.39,0.0,True
2025-12-01,14,61135952,680.27,61135952,0,680.27,0.0,False
