date,open_proxy,observed_close,anchor_available_at,scheduled_close,close,previous_close,spy_return,spy_vol_prior14,prior_sessions,eligible
2025-06-24,602.2103,605.1024,2025-06-24 10:00:00,2025-06-24 16:00:00,605.1022,598.4906,0.011047124215484816,0.006749642158191972,70,True
2025-06-25,606.5084,605.4414,2025-06-25 10:00:00,2025-06-25 16:00:00,605.4413,605.1022,0.0005604012016480198,0.007166792528261291,71,True
2025-06-26,607.5355,610.1782,2025-06-26 10:00:00,2025-06-26 16:00:00,610.1782,605.4413,0.007823879870765271,0.007154424782820875,72,True
2025-06-27,612.7512,613.2098,2025-06-27 10:00:00,2025-06-27 16:00:00,613.2098,610.1782,0.0049683846456658465,0.007083154049546871,73,True
2025-06-30,614.6858,616.1417,2025-06-30 10:00:00,2025-06-30 16:00:00,616.1417,613.2098,0.004781234742171403,0.00676882060315721,74,True
2025-07-01,615.4553,615.9423,2025-07-01 10:00:00,2025-07-01 16:00:00,615.9422,616.1417,-0.0003237891543456106,0.0067957794457405366,75,True
2025-07-02,615.5932,618.7346,2025-07-02 10:00:00,2025-07-02 16:00:00,618.7344,615.9422,0.004533217564895109,0.00676042308237923,76,True
2025-07-03,622.514,623.611,2025-07-03 10:00:00,2025-07-03 13:00:00,623.611,618.7344,0.007881572448533491,0.0066449622188862675,77,True
2025-07-07,621.8758,618.9639,2025-07-07 10:00:00,2025-07-07 16:00:00,618.9638,623.611,-0.00745208150593879,0.006793547874936209,78,True
2025-07-08,618.9439,618.6249,2025-07-08 10:00:00,2025-07-08 16:00:00,618.6248,618.9638,-0.0005476895417791949,0.006257628677273243,79,True
2025-07-09,622.514,622.3345,2025-07-09 10:00:00,2025-07-09 16:00:00,622.3345,618.6248,0.0059966881379471815,0.006026947160226847,80,True
2025-07-10,621.6365,624.0897,2025-07-10 10:00:00,2025-07-10 16:00:00,624.0896,622.3345,0.0028201875358027095,0.005213538754319208,81,True
2025-07-11,621.467,621.8958,2025-07-11 10:00:00,2025-07-11 16:00:00,621.8957,624.0896,-0.0035153606148859984,0.005120514566261188,82,True
2025-07-14,620.9883,623.0825,2025-07-14 10:00:00,2025-07-14 16:00:00,623.0824,621.8957,0.0019081977894364055,0.005232115816641424,83,True
2025-07-15,623.97,620.4199,2025-07-15 10:00:00,2025-07-15 16:00:00,620.4198,623.0824,-0.0042732710793949025,0.004903491835433005,84,True
2025-07-16,620.3301,622.4941,2025-07-16 10:00:00,2025-07-16 16:00:00,622.494,620.4198,0.003343220187363549,0.004646185792752976,85,True
2025-07-17,624.1395,626.3035,2025-07-17 10:00:00,2025-07-17 16:00:00,626.3035,622.494,0.006119737700283068,0.00464872689786294,86,True
2025-07-18,627.5002,625.8448,2025-07-18 10:00:00,2025-07-18 16:00:00,625.8447,626.3035,-0.0007325521891542452,0.004504461816199523,87,True
2025-07-21,629.036,627.0316,2025-07-21 10:00:00,2025-07-21 16:00:00,627.0314,625.8447,0.0018961573054785408,0.004460710295524807,88,True
2025-07-22,625.037,627.1213,2025-07-22 10:00:00,2025-07-22 16:00:00,627.1212,627.0314,0.0001432145184436795,0.004361361725091202,89,True
2025-07-23,628.2183,632.4565,2025-07-23 10:00:00,2025-07-23 16:00:00,632.4564,627.1212,0.008507446407488573,0.004350079427216838,90,True
2025-07-24,633.354,632.6659,2025-07-24 10:00:00,2025-07-24 16:00:00,632.6658,632.4564,0.000331090016639779,0.004693789757426304,91,True
2025-07-25,633.5334,635.3384,2025-07-25 10:00:00,2025-07-25 16:00:00,635.3384,632.6658,0.004224347198789502,0.004333793691439217,92,True
2025-07-28,635.6876,635.179,2025-07-28 10:00:00,2025-07-28 16:00:00,635.1788,635.3384,-0.0002512047123233163,0.003642422556693162,93,True
2025-07-29,636.256,633.5036,2025-07-29 10:00:00,2025-07-29 16:00:00,633.5035,635.1788,-0.002637525055936951,0.0036280997453053475,94,True
2025-07-30,633.9523,632.7058,2025-07-30 10:00:00,2025-07-30 16:00:00,632.7057,633.5035,-0.0012593458441825245,0.0036108856523721275,95,True
2025-07-31,637.677,630.3324,2025-07-31 10:00:00,2025-07-31 16:00:00,630.3323,632.7057,-0.0037511911146049792,0.003641286929661812,96,True
2025-08-01,619.4525,620.001,2025-08-01 10:00:00,2025-08-01 16:00:00,620.0009,630.3323,-0.016390402332230214,0.003664186144917365,97,True
2025-08-04,627.4005,629.4249,2025-08-04 10:00:00,2025-08-04 16:00:00,629.4248,620.0009,0.015199816645427466,0.005890651988787581,98,True
2025-08-05,629.4947,626.2337,2025-08-05 10:00:00,2025-08-05 16:00:00,626.2336,629.4248,-0.005070025839464809,0.007070762960690552,99,True
2025-08-06,627.2111,631.0305,2025-08-06 10:00:00,2025-08-06 16:00:00,631.0303,626.2336,0.007659601784381964,0.007217155609374204,100,True
2025-08-07,634.8,630.5019,2025-08-07 10:00:00,2025-08-07 16:00:00,630.5018,631.0303,-0.0008375192126273134,0.007321159613631486,101,True
2025-08-08,634.1917,635.4183,2025-08-08 10:00:00,2025-08-08 16:00:00,635.4182,630.5018,0.00779759867457952,0.00732264106512882,102,True
2025-08-11,635.9368,634.1617,2025-08-11 10:00:00,2025-08-11 16:00:00,634.1617,635.4182,-0.0019774378511663304,0.007571441779249559,103,True
2025-08-12,635.4083,640.913,2025-08-12 10:00:00,2025-08-12 16:00:00,640.913,634.1617,0.01064602293074457,0.007610499383546218,104,True
2025-08-13,643.8051,643.107,2025-08-13 10:00:00,2025-08-13 16:00:00,643.1069,640.913,0.0034230855045849218,0.007795774951234073,105,True
2025-08-14,642.2872,643.1668,2025-08-14 10:00:00,2025-08-14 16:00:00,643.1667,643.1069,9.298609609076358e-05,0.007819817356518613,106,True
2025-08-15,641.6362,641.6609,2025-08-15 10:00:00,2025-08-15 16:00:00,641.6609,643.1667,-0.0023412281761477916,0.0077746602475312985,107,True
2025-08-18,640.9629,641.5214,2025-08-18 10:00:00,2025-08-18 16:00:00,641.5213,641.6609,-0.00021756039677656158,0.007818474146473211,108,True
2025-08-19,641.1025,638.041,2025-08-19 10:00:00,2025-08-19 16:00:00,638.041,641.5213,-0.005425073181513862,0.007764290644087866,109,True
2025-08-20,633.5535,636.3457,2025-08-20 10:00:00,2025-08-20 16:00:00,636.3456,638.041,-0.002657196010914742,0.007932512372744125,110,True
2025-08-21,633.3041,633.7928,2025-08-21 10:00:00,2025-08-21 16:00:00,633.7927,636.3456,-0.004011813706262801,0.007891323803037016,111,True
2025-08-22,637.1435,643.5258,2025-08-22 10:00:00,2025-08-22 16:00:00,643.5257,633.7927,0.015356756239066849,0.006376288448853243,112,True
2025-08-25,642.5585,640.6936,2025-08-25 10:00:00,2025-08-25 16:00:00,640.6935,643.5257,-0.0044010674321166565,0.006402138701112169,113,True
2025-08-26,640.7136,643.3762,2025-08-26 10:00:00,2025-08-26 16:00:00,643.3762,640.6935,0.004187181546246421,0.006350795770757866,114,True
