model,trade_id,date,timestamp,signal_timestamp,source_timestamp,price_source_timestamp,action,order_side,direction,price,upper,lower,noise_sigma,noise_count,vwap_approx,long_stop,short_stop,shares,sizing_leverage,execution_notional_leverage,gross_pnl,commission,slippage,costs,net_pnl,reason
C,12,2025-04-11,2025-04-11 10:30:00,2025-04-11 10:30:00,2025-04-11 10:00:00,2025-04-11 10:00:00,ENTRY,SELL,-1,517.5607,523.827645402225,519.9078548290978,0.0032198735876088663,14.0,519.9948656361954,523.827645402225,519.9078548290978,102,0.5131430815702236,0.5061795393955099,0.0,0.357,0.10200000000000001,0.45899999999999996,-0.45899999999999996,entry
C,12,2025-04-11,2025-04-11 11:00:00,2025-04-11 11:00:00,2025-04-11 10:30:00,2025-04-11 10:30:00,EXIT,BUY,-1,519.937,525.9363475694905,517.801410602099,0.007258400267607997,14.0,519.9820237247477,525.9363475694905,517.801410602099,102,0.5131430815702236,0.5085035845547841,-242.3826000000015,0.357,0.10200000000000001,0.45899999999999996,-242.8416000000015,stop_or_reverse
C,13,2025-04-11,2025-04-11 13:00:00,2025-04-11 13:00:00,2025-04-11 12:30:00,2025-04-11 12:30:00,ENTRY,BUY,1,528.7863,526.6612755002227,517.0772589042513,0.008646761713233435,14.0,521.7901951432314,526.6612755002227,517.0772589042513,102,0.5131430815702236,0.5171582884339091,0.0,0.357,0.10200000000000001,0.45899999999999996,-0.45899999999999996,entry
C,13,2025-04-11,2025-04-11 13:30:00,2025-04-11 13:30:00,2025-04-11 13:00:00,2025-04-11 13:00:00,EXIT,SELL,1,526.8027,529.7982163337922,513.9436770206238,0.014654541970972514,14.0,522.2039647912202,529.7982163337922,513.9436770206238,102,0.5131430815702236,0.5152183078010193,-202.32720000000245,0.357,0.10200000000000001,0.45899999999999996,-202.78620000000245,stop_or_reverse
C,14,2025-04-11,2025-04-11 14:00:00,2025-04-11 14:00:00,2025-04-11 13:30:00,2025-04-11 13:30:00,ENTRY,BUY,1,531.6697,529.7503288104231,513.9915132673503,0.01456282914221597,14.0,523.4489113221409,529.7503288104231,513.9915132673503,102,0.5131430815702236,0.5199782824633883,0.0,0.357,0.10200000000000001,0.45899999999999996,-0.45899999999999996,entry
C,14,2025-04-11,2025-04-11 15:00:00,2025-04-11 15:00:00,2025-04-11 14:30:00,2025-04-11 14:30:00,EXIT,SELL,1,529.1342,529.6838798508783,514.0578910751775,0.0144355679764875,14.0,524.241350862657,529.6838798508783,514.0578910751775,102,0.5131430815702236,0.5174985381123637,-258.62100000000714,0.357,0.10200000000000001,0.45899999999999996,-259.08000000000715,stop_or_reverse
C,15,2025-04-11,2025-04-11 15:30:00,2025-04-11 15:30:00,2025-04-11 15:00:00,2025-04-11 15:00:00,ENTRY,BUY,1,531.441,531.0477206393167,512.6955106499337,0.01704755723551241,14.0,524.7900082931432,531.0477206393167,512.6955106499337,102,0.5131430815702236,0.5197546115767468,0.0,0.357,0.10200000000000001,0.45899999999999996,-0.45899999999999996,entry
C,15,2025-04-11,2025-04-11 16:00:00,2025-04-11 16:00:00,2025-04-11 15:30:00,2025-04-11 16:00:00,EXIT,SELL,1,530.8942,532.7325785282956,511.01245686042915,0.02027434935545952,14.0,525.9187586862336,532.7325785282956,511.01245686042915,102,0.5131430815702236,0.5192198357096042,-55.77360000000772,0.357,0.10200000000000001,0.45899999999999996,-56.232600000007714,session_close
C,16,2025-04-21,2025-04-21 11:30:00,2025-04-21 11:30:00,2025-04-21 11:00:00,2025-04-21 11:00:00,ENTRY,SELL,-1,510.1432,526.918230265316,510.9874345189434,0.006708605227244892,14.0,512.4407686930335,526.918230265316,510.9874345189434,102,0.5108840524978369,0.5026010508644042,0.0,0.357,0.10200000000000001,0.45899999999999996,-0.45899999999999996,entry
C,16,2025-04-21,2025-04-21 13:30:00,2025-04-21 13:30:00,2025-04-21 13:00:00,2025-04-21 13:00:00,EXIT,BUY,-1,507.0013,531.118871139768,506.85876940093317,0.014734179354089565,14.0,510.3065338954169,531.118871139768,506.85876940093317,102,0.5108840524978369,0.4995056018969166,320.47379999999634,0.357,0.10200000000000001,0.45899999999999996,320.01479999999634,stop_or_reverse
C,17,2025-04-21,2025-04-21 14:00:00,2025-04-21 14:00:00,2025-04-21 13:30:00,2025-04-21 13:30:00,ENTRY,SELL,-1,506.0935,531.524967380523,506.4596314041677,0.015510050365257044,14.0,510.0111895463778,531.524967380523,506.4596314041677,102,0.5108840524978369,0.49861122315389955,0.0,0.357,0.10200000000000001,0.45899999999999996,-0.45899999999999996,entry
C,17,2025-04-21,2025-04-21 14:30:00,2025-04-21 14:30:00,2025-04-21 14:00:00,2025-04-21 14:00:00,EXIT,BUY,-1,507.031,531.6424832713748,506.34412908586125,0.015734571461275833,14.0,509.74257229971886,531.6424832713748,506.34412908586125,102,0.5108840524978369,0.4995348628009347,-95.625,0.357,0.10200000000000001,0.45899999999999996,-96.084,stop_or_reverse
C,18,2025-04-21,2025-04-21 15:00:00,2025-04-21 15:00:00,2025-04-21 14:30:00,2025-04-21 14:30:00,ENTRY,SELL,-1,505.8677,531.140594981737,506.83741778549,0.014775684045695545,14.0,509.4192125335176,531.140594981737,506.83741778549,102,0.5108840524978369,0.4983887614661123,0.0,0.357,0.10200000000000001,0.45899999999999996,-0.45899999999999996,entry
C,18,2025-04-21,2025-04-21 15:30:00,2025-04-21 15:30:00,2025-04-21 15:00:00,2025-04-21 15:00:00,EXIT,BUY,-1,507.5083,532.8999024858938,505.10825508356925,0.018136945626612586,14.0,509.2322188162613,532.8999024858938,505.10825508356925,102,0.5108840524978369,0.5000051062180332,-167.34120000000064,0.357,0.10200000000000001,0.45899999999999996,-167.80020000000064,stop_or_reverse
C,19,2025-04-22,2025-04-22 12:00:00,2025-04-22 12:00:00,2025-04-22 11:30:00,2025-04-22 11:30:00,ENTRY,BUY,1,523.2083,523.151220457246,506.80471170069995,0.008109797974316157,14.0,521.0422774414017,523.151220457246,506.80471170069995,101,0.5075569859210025,0.5101495351330414,0.0,0.3535,0.101,0.4545,-0.4545,entry
C,19,2025-04-22,2025-04-22 13:30:00,2025-04-22 13:30:00,2025-04-22 13:00:00,2025-04-22 13:00:00,EXIT,SELL,1,519.6039,526.8595272714717,503.1535312650995,0.015255686748212776,14.0,521.9091518906512,526.8595272714717,503.1535312650995,101,0.5075569859210025,0.5066350974140037,-364.04440000000557,0.3535,0.101,0.4545,-364.49890000000556,stop_or_reverse
C,20,2025-04-24,2025-04-24 10:30:00,2025-04-24 10:30:00,2025-04-24 10:00:00,2025-04-24 10:00:00,ENTRY,BUY,1,539.0388,538.6163901523701,530.1669761841295,0.004129726317484079,14.0,537.7359146023565,538.6163901523701,530.1669761841295,95,0.4938055358813649,0.4961099558849862,0.0,0.3325,0.095,0.4275,-0.4275,entry
C,20,2025-04-24,2025-04-24 11:00:00,2025-04-24 11:00:00,2025-04-24 10:30:00,2025-04-24 10:30:00,EXIT,SELL,1,539.3954,540.4628045056257,528.334453623818,0.007571952683225984,14.0,538.2936466962615,540.4628045056257,528.334453623818,95,0.4938055358813649,0.4964381563972101,33.876999999995974,0.3325,0.095,0.4275,33.44949999999597,stop_or_reverse
C,21,2025-04-24,2025-04-24 13:00:00,2025-04-24 13:00:00,2025-04-24 12:30:00,2025-04-24 12:30:00,ENTRY,BUY,1,542.3385,541.6867972372943,527.119669796729,0.009853813222815937,14.0,539.357821409014,541.6867972372943,527.119669796729,95,0.4938055358813649,0.499146869037497,0.0,0.3325,0.095,0.4275,-0.4275,entry
C,21,2025-04-24,2025-04-24 13:30:00,2025-04-24 13:30:00,2025-04-24 13:00:00,2025-04-24 13:00:00,EXIT,SELL,1,541.8632,544.3743110341836,524.4523759386283,0.014864081277565413,14.0,539.5516093123713,544.3743110341836,524.4523759386283,95,0.4938055358813649,0.4987094217479288,-45.153499999995006,0.3325,0.095,0.4275,-45.58099999999501,stop_or_reverse
