model,trade_id,date,timestamp,signal_timestamp,source_timestamp,price_source_timestamp,action,order_side,direction,price,upper,lower,noise_sigma,noise_count,vwap_approx,long_stop,short_stop,shares,sizing_leverage,execution_notional_leverage,gross_pnl,commission,slippage,costs,net_pnl,reason
B,78,2025-09-04,2025-09-04 13:30:00,2025-09-04 13:30:00,2025-09-04 13:00:00,2025-09-04 13:00:00,ENTRY,BUY,1,645.0902,644.84285845358,640.355528393699,0.0024994880621099463,14.0,643.8285051136863,644.84285845358,640.355528393699,159,1.0,0.9983984892413947,0.0,0.5565,0.159,0.7155,-0.7155,entry
B,78,2025-09-04,2025-09-04 16:00:00,2025-09-04 16:00:00,2025-09-04 15:30:00,2025-09-04 16:00:00,EXIT,SELL,1,647.3253,645.0978117184436,640.1010804890261,0.002895848995870357,14.0,645.111551269042,645.111551269042,640.1010804890261,159,1.0,1.0018577271329383,355.3808999999982,0.5565,0.159,0.7155,354.66539999999816,session_close
B,79,2025-09-05,2025-09-05 10:30:00,2025-09-05 10:30:00,2025-09-05 10:00:00,2025-09-05 10:00:00,ENTRY,SELL,-1,644.7175,650.246990921266,646.3410504660048,0.0015203324912967783,14.0,646.9705079693601,650.246990921266,646.3410504660048,158,1.0,0.9881416050222448,0.0,0.553,0.158,0.7110000000000001,-0.7110000000000001,entry
B,79,2025-09-05,2025-09-05 15:30:00,2025-09-05 15:30:00,2025-09-05 15:00:00,2025-09-05 15:00:00,EXIT,BUY,-1,645.3787,651.1715827393726,645.4192137969387,0.0029444029107182196,14.0,644.8513193344397,651.1715827393726,644.8513193344397,158,1.0,0.9891550089227761,-104.46960000000126,0.553,0.158,0.7110000000000001,-105.18060000000126,stop_or_reverse
B,80,2025-09-11,2025-09-11 11:30:00,2025-09-11 11:30:00,2025-09-11 11:00:00,2025-09-11 11:00:00,ENTRY,BUY,1,655.6323,655.4924738252365,648.7252045520472,0.002585145119918499,14.0,654.406064479041,655.4924738252365,648.7252045520472,157,1.0,0.9995372158957271,0.0,0.5495,0.157,0.7065,-0.7065,entry
B,80,2025-09-11,2025-09-11 12:00:00,2025-09-11 12:00:00,2025-09-11 11:30:00,2025-09-11 11:30:00,EXIT,SELL,1,655.3929,655.6082733119948,648.6100065014069,0.0027622620966533435,14.0,654.5339842249416,655.6082733119948,648.6100065014069,157,1.0,0.9991722411843144,-37.585799999989376,0.5495,0.157,0.7065,-38.292299999989375,stop_or_reverse
B,81,2025-09-11,2025-09-11 12:30:00,2025-09-11 12:30:00,2025-09-11 12:00:00,2025-09-11 12:00:00,ENTRY,BUY,1,655.5624,655.480451868306,648.7371640696759,0.0025667573642766234,14.0,654.626136141045,655.480451868306,648.7371640696759,157,1.0,0.9994306505977834,0.0,0.5495,0.157,0.7065,-0.7065,entry
B,81,2025-09-11,2025-09-11 13:30:00,2025-09-11 13:30:00,2025-09-11 13:00:00,2025-09-11 13:00:00,EXIT,SELL,1,655.2982,655.6203354389457,648.5980070223916,0.002780711292918054,14.0,654.7120306199447,655.6203354389457,648.5980070223916,157,1.0,0.9990278673114202,-41.47940000001154,0.5495,0.157,0.7065,-42.185900000011536,stop_or_reverse
B,82,2025-09-11,2025-09-11 14:00:00,2025-09-11 14:00:00,2025-09-11 13:30:00,2025-09-11 13:30:00,ENTRY,BUY,1,655.7619,655.6675927767775,648.5509951283922,0.002852992069280786,14.0,654.7735178108549,655.6675927767775,648.5509951283922,157,1.0,0.9997347961906273,0.0,0.5495,0.157,0.7065,-0.7065,entry
B,82,2025-09-11,2025-09-11 14:30:00,2025-09-11 14:30:00,2025-09-11 14:00:00,2025-09-11 14:00:00,EXIT,SELL,1,655.5126,655.7396121893491,648.4793497682202,0.0029631467942972905,14.0,654.841322615413,655.7396121893491,648.4793497682202,157,1.0,0.9993547285400206,-39.14009999999189,0.5495,0.157,0.7065,-39.84659999999189,stop_or_reverse
