model,date,timestamp,direction,held_shares,equity_marked,marked_leverage
B,2025-07-03,2025-07-03 11:30:00,1,164,102312.08119999991,0.9996902262213008
B,2025-07-03,2025-07-03 12:00:00,1,164,102394.67159999991,0.9996904760813754
B,2025-07-03,2025-07-03 12:30:00,1,164,102368.49719999993,0.9996903969398124
B,2025-07-03,2025-07-03 13:00:00,0,0,102303.15959999991,0.0
B,2025-07-07,2025-07-07 10:00:00,0,0,102303.15959999991,0.0
B,2025-07-07,2025-07-07 10:30:00,0,0,102303.15959999991,0.0
B,2025-07-07,2025-07-07 11:00:00,-1,-164,102302.42159999991,0.9945248803377308
B,2025-07-07,2025-07-07 11:30:00,-1,-164,102312.22879999991,0.9943336939601505
B,2025-07-07,2025-07-07 12:00:00,-1,-164,102359.65759999992,0.9934096106237862
B,2025-07-07,2025-07-07 12:30:00,-1,-164,102550.99639999992,0.9896903234769553
B,2025-07-07,2025-07-07 13:00:00,-1,-164,102679.3919999999,0.9872023122224964
B,2025-07-07,2025-07-07 13:30:00,-1,-164,102618.87599999992,0.988374197355271
B,2025-07-07,2025-07-07 14:00:00,-1,-164,102640.95039999991,0.9879465691307558
B,2025-07-07,2025-07-07 14:30:00,-1,-164,102977.85559999992,0.9814427481630339
B,2025-07-07,2025-07-07 15:00:00,-1,-164,102620.53239999992,0.9883421029688605
B,2025-07-07,2025-07-07 15:30:00,-1,-164,102734.16799999992,0.9861427718964938
B,2025-07-07,2025-07-07 16:00:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 10:00:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 10:30:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 11:00:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 11:30:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 12:00:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 12:30:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 13:00:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 13:30:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 14:00:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 14:30:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 15:00:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 15:30:00,0,0,102533.90759999992,0.0
B,2025-07-08,2025-07-08 16:00:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 10:00:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 10:30:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 11:00:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 11:30:00,0,0,102533.90759999992,0.0
