date,model,start_equity,gross_pnl,commission,slippage,costs,net_pnl,equity,daily_return,shares,sizing_leverage
2025-07-25,C,105366.34569999985,-10.041499999974235,13.965000000000002,3.99,17.955000000000002,-27.996499999950174,105338.3491999999,-0.0002657062823423484,665,4.0
2025-07-28,C,105338.3491999999,0.0,0.0,0.0,0.0,0.0,105338.3491999999,0.0,662,4.0
2025-07-29,C,105338.3491999999,-603.942599999973,4.634,1.324,5.958,-609.900599999979,104728.44859999992,-0.005789919859499615,662,4.0
2025-07-30,C,104728.44859999992,-1211.0339999999655,9.24,2.64,11.88,-1222.9139999999607,103505.53459999996,-0.011676999099554664,660,4.0
2025-07-31,C,103505.53459999996,0.0,0.0,0.0,0.0,0.0,103505.53459999996,0.0,649,4.0
2025-08-01,C,103505.53459999996,0.0,0.0,0.0,0.0,0.0,103505.53459999996,0.0,668,4.0
2025-08-04,C,103505.53459999996,0.0,0.0,0.0,0.0,0.0,103505.53459999996,0.0,560,3.3952099085243055
2025-08-05,C,103505.53459999996,-138.1979999999885,6.51,1.86,8.37,-146.56799999998475,103358.96659999997,-0.0014160402201331967,465,2.8285490704735405
2025-08-06,C,103358.96659999997,818.5655999999699,3.192,0.912,4.104,814.4615999999805,104173.42819999995,0.007879931725246037,456,2.771174834310409
2025-08-07,C,104173.42819999995,388.68479999996634,3.136,0.896,4.032,384.6527999999671,104558.08099999992,0.003692427201891446,448,2.731807671937845
2025-08-08,C,104558.08099999992,0.0,0.0,0.0,0.0,0.0,104558.08099999992,0.0,450,2.7312549969494047
2025-08-11,C,104558.08099999992,0.0,0.0,0.0,0.0,0.0,104558.08099999992,0.0,434,2.641504826044148
2025-08-12,C,104558.08099999992,1447.502399999983,3.024,0.864,3.888,1443.6143999999767,106001.6953999999,0.013806818049768799,432,2.6279484422848376
2025-08-13,C,106001.6953999999,0.0,0.0,0.0,0.0,0.0,106001.6953999999,0.0,422,2.5654922217622502
2025-08-14,C,106001.6953999999,0.0,0.0,0.0,0.0,0.0,106001.6953999999,0.0,422,2.557604492300318
2025-08-15,C,106001.6953999999,0.0,0.0,0.0,0.0,0.0,106001.6953999999,0.0,424,2.5724596783956746
2025-08-18,C,106001.6953999999,0.0,0.0,0.0,0.0,0.0,106001.6953999999,0.0,423,2.5580438875047866
2025-08-19,C,106001.6953999999,256.4024999999475,5.95,1.7,7.65,248.75249999992957,106250.44789999982,0.0023466841644490533,425,2.5758953286001782
2025-08-20,C,106250.44789999982,-1009.9725999999805,2.954,0.844,3.798,-1013.7705999999889,105236.67729999984,-0.009541330131183301,422,2.5212693104292407
2025-08-21,C,105236.67729999984,0.0,0.0,0.0,0.0,0.0,105236.67729999984,0.0,421,2.5344290133301715
2025-08-22,C,105236.67729999984,547.7850000000024,3.626,1.036,4.662,543.1229999999923,105779.80029999983,0.005160966821973201,518,3.136620960677672
2025-08-25,C,105779.80029999983,0.0,0.0,0.0,0.0,0.0,105779.80029999983,0.0,514,3.1239560612027404
2025-08-26,C,105779.80029999983,0.0,0.0,0.0,0.0,0.0,105779.80029999983,0.0,519,3.1492116455845847
2025-08-27,C,105779.80029999983,0.0,0.0,0.0,0.0,0.0,105779.80029999983,0.0,533,3.24512432163318
2025-08-28,C,105779.80029999983,144.02200000003688,3.745,1.07,4.815,139.20700000003853,105919.00729999987,0.001316007400328223,535,3.261493078070387
2025-08-29,C,105919.00729999987,-641.0512999999881,7.798,2.228,10.026,-651.0772999999899,105267.92999999988,-0.00614693544243583,557,3.3876133693651447
2025-09-02,C,105267.92999999988,10.485999999983164,3.745,1.07,4.815,5.670999999987544,105273.60099999986,5.387205771012482e-05,535,3.243851539953995
2025-09-03,C,105273.60099999986,-856.9205999999476,3.906,1.116,5.022,-861.9425999999512,104411.65839999991,-0.008187642408090112,558,3.399777236611002
2025-09-04,C,104411.65839999991,1206.9539999999938,3.7800000000000002,1.08,4.86,1202.0939999999973,105613.75239999991,0.011513024679627115,540,3.3323747219174824
2025-09-05,C,105613.75239999991,-335.22840000000406,3.549,1.014,4.563,-339.7914000000019,105273.96099999991,-0.003217302598179428,507,3.1174579661531996
2025-09-08,C,105273.96099999991,0.0,0.0,0.0,0.0,0.0,105273.96099999991,0.0,505,3.1075510213876645
2025-09-09,C,105273.96099999991,0.0,0.0,0.0,0.0,0.0,105273.96099999991,0.0,503,3.0985750394184377
2025-09-10,C,105273.96099999991,0.0,0.0,0.0,0.0,0.0,105273.96099999991,0.0,519,3.2137490527051686
2025-09-11,C,105273.96099999991,-452.002399999963,14.671999999999999,4.192,18.864,-470.86639999994077,104803.09459999997,-0.004472771761669936,524,3.259501176038349
2025-09-12,C,104803.09459999997,0.0,0.0,0.0,0.0,0.0,104803.09459999997,0.0,519,3.248939115333904
2025-09-15,C,104803.09459999997,0.0,0.0,0.0,0.0,0.0,104803.09459999997,0.0,636,4.0
2025-09-16,C,104803.09459999997,0.0,0.0,0.0,0.0,0.0,104803.09459999997,0.0,636,4.0
2025-09-17,C,104803.09459999997,-1849.7206000000297,13.377,3.822,17.199,-1866.9196000000375,102936.17499999993,-0.017813592309706805,637,4.0
2025-09-18,C,102936.17499999993,-1689.8251999999309,13.083,3.7380000000000004,16.820999999999998,-1706.6461999999156,101229.52880000001,-0.016579654334347604,623,4.0
